SignUpId,CreditCard,Age,Gender,RegionCode,DeviceType,NoOfDevicesUsed,HoursPerDay,isPremiumserviceUsed,keyPress,NoShowsWatched,EoFEvents,EmptySearchResults,Wifi/MobileData,WatchSession,RecommendationSuccess,ExtenstionofTrails,GlobalEvent,DetectedMAC,ProfiledAge,WeekOfMonth,MostActiveTimeofDayForDataUsage,VPN,DownloadHistory,NoConnectedDevicesinHome,CostOfDevices,BoughtMembership
a5014fb4-0ee1-11eb-b0e9-186590d21c4d,1,93,2,1000,2,3,9,0,924,4,9,2,2,3,12,0,0,a501591e-0ee1-11eb-b0e9-186590d21c4d,0,3,3,1,2,82,103299,1
a502c8a8-0ee1-11eb-b0e9-186590d21c4d,1,53,2,1006,4,4,10,0,956,4,3,1,1,2,6,0,0,a502d0a0-0ee1-11eb-b0e9-186590d21c4d,2,4,3,0,0,30,1904290,1
a503f9da-0ee1-11eb-b0e9-186590d21c4d,3,15,1,1008,2,5,4,1,244,8,7,4,1,2,10,2,0,a50400b0-0ee1-11eb-b0e9-186590d21c4d,0,1,3,0,0,21,653236,1
a5056662-0ee1-11eb-b0e9-186590d21c4d,3,68,1,1004,5,4,8,0,749,3,6,3,1,2,3,3,0,a5056d56-0ee1-11eb-b0e9-186590d21c4d,1,2,2,0,2,59,1932677,1
a5068628-0ee1-11eb-b0e9-186590d21c4d,3,41,1,1005,5,3,16,1,869,8,3,3,1,4,3,3,0,a5068c90-0ee1-11eb-b0e9-186590d21c4d,2,1,2,1,4,46,446378,1
a507c4de-0ee1-11eb-b0e9-186590d21c4d,3,85,1,1008,5,3,10,1,306,3,5,2,1,1,8,0,0,a507cbd2-0ee1-11eb-b0e9-186590d21c4d,0,2,4,1,3,59,1791569,0
a508e404-0ee1-11eb-b0e9-186590d21c4d,3,58,1,1009,1,3,2,0,674,8,3,1,1,4,4,3,0,a508ead0-0ee1-11eb-b0e9-186590d21c4d,0,2,3,1,2,32,1860660,0
a50a7e2c-0ee1-11eb-b0e9-186590d21c4d,3,86,2,1004,5,2,2,0,169,9,6,1,2,1,3,4,0,a50a8598-0ee1-11eb-b0e9-186590d21c4d,1,3,4,1,3,89,44560,0
a50bab8a-0ee1-11eb-b0e9-186590d21c4d,1,50,1,1008,4,2,1,0,124,6,5,3,2,2,5,1,0,a50bb36e-0ee1-11eb-b0e9-186590d21c4d,1,3,1,0,2,25,1707115,1
a50cfe7c-0ee1-11eb-b0e9-186590d21c4d,1,97,2,1001,4,3,1,0,917,7,1,3,1,4,12,0,0,a50d0606-0ee1-11eb-b0e9-186590d21c4d,1,3,2,0,1,88,922009,0
a50e237e-0ee1-11eb-b0e9-186590d21c4d,2,29,1,1007,2,3,17,1,888,4,4,2,1,4,10,2,0,a50e2a7c-0ee1-11eb-b0e9-186590d21c4d,0,3,2,1,3,64,424198,0
a50f7c60-0ee1-11eb-b0e9-186590d21c4d,2,48,2,1009,5,2,13,0,350,2,6,4,1,3,6,2,0,a50f8458-0ee1-11eb-b0e9-186590d21c4d,2,1,2,0,1,67,1290521,1
a510a144-0ee1-11eb-b0e9-186590d21c4d,1,57,2,1003,2,3,5,0,279,7,6,1,2,3,11,1,0,a510a7f2-0ee1-11eb-b0e9-186590d21c4d,0,3,3,1,2,51,1909093,0
a511c696-0ee1-11eb-b0e9-186590d21c4d,1,73,2,1007,2,1,14,1,682,1,6,2,2,1,6,4,0,a511cdbc-0ee1-11eb-b0e9-186590d21c4d,0,4,1,0,3,81,388165,1
a5130d80-0ee1-11eb-b0e9-186590d21c4d,1,48,1,1002,5,3,3,1,537,3,7,4,1,2,3,1,0,a5131546-0ee1-11eb-b0e9-186590d21c4d,2,4,3,1,0,51,1120439,0
a5148c78-0ee1-11eb-b0e9-186590d21c4d,1,67,1,1001,3,5,6,1,945,2,3,4,2,4,5,1,0,a5149344-0ee1-11eb-b0e9-186590d21c4d,0,4,2,1,0,72,473369,1
a516326c-0ee1-11eb-b0e9-186590d21c4d,1,81,2,1002,1,5,6,0,911,3,8,4,1,1,12,0,0,a5163fe6-0ee1-11eb-b0e9-186590d21c4d,1,2,4,0,0,86,1609378,0
a517d982-0ee1-11eb-b0e9-186590d21c4d,1,62,2,1000,3,5,1,1,269,9,4,4,2,1,14,3,0,a517e026-0ee1-11eb-b0e9-186590d21c4d,2,1,4,1,3,54,1837784,1
a51936e2-0ee1-11eb-b0e9-186590d21c4d,3,55,2,1007,5,4,5,1,410,3,1,4,2,3,12,0,0,a5193d90-0ee1-11eb-b0e9-186590d21c4d,2,2,4,0,1,60,400848,0
a51a5950-0ee1-11eb-b0e9-186590d21c4d,3,79,1,1000,3,1,15,1,908,2,3,3,2,4,8,1,0,a51a6058-0ee1-11eb-b0e9-186590d21c4d,0,4,4,1,2,57,764387,1
